05-27 15:40:29.441 15673 15695 I TestRunner: started: testAllScenarios(com.example.gemininano.LlmPromptTest)
05-27 15:40:29.452 30890 15700 E DocumentManagerRoleBehavior: There should be exactly one documenter; found 2: matches=[com.android.documentsui, com.android.car.frameworkpackagestubs]
05-27 15:40:29.453 15673 15695 D TEST_REPORT: Loading model...
05-27 15:40:29.500 15500 15501 I AidlLazyServiceRegistrar: Process has 0 (of 1 available) client(s) in use after notification artd has clients: 0
05-27 15:40:29.501 15500 15501 I AidlLazyServiceRegistrar: Trying to shut down the service. No clients in use for any service in process.
05-27 15:40:29.501 15500 15501 I AidlLazyServiceRegistrar: Unregistered all clients and exiting
05-27 15:40:29.770 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.776 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.778 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.779 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.785 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.787 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.788 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.794 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.796 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.797 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.803 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.805 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.806 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.812 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.814 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.815 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.821 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.822 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.823 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.830 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.831 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.832 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.839 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.840 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.841 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.848 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.849 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.850 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
